application/andrew-inset	ez
application/atom+xml		atom
application/mac-binhex40	hqx
application/mac-compactpro	cpt
application/mathml+xml		mathml
application/msword		doc
application/octet-stream	exe
application/oda			oda
application/ogg			ogg
application/pdf			pdf
application/postscript		ps
application/rdf+xml		rdf
application/smil		smil
application/srgs		gram
application/srgs+xml		grxml
application/vnd.mif		mif
application/vnd.mozilla.xul+xml	xul
application/vnd.ms-excel	xls
application/vnd.ms-powerpoint	ppt
application/vnd.wap.wbxml	wbxml
application/vnd.wap.wmlc	wmlc
application/vnd.wap.wmlscriptc	wmlsc
application/voicexml+xml	vxml
application/x-bcpio		bcpio
application/x-cdlink		vcd
application/x-chess-pgn		pgn
application/x-cpio		cpio
application/x-csh		csh
application/x-director		dxr
application/x-dvi		dvi
application/x-futuresplash	spl
application/x-gtar		gtar
application/x-hdf		hdf
application/x-javascript	js
application/x-koan		skp
application/x-latex		latex
application/x-netcdf		cdf
application/x-sh		sh
application/x-shar		shar
application/x-shockwave-flash	swf
application/x-stuffit		sit
application/x-sv4cpio		sv4cpio
application/x-sv4crc		sv4crc
application/x-tar		tar
application/x-tcl		tcl
application/x-tex		tex
application/x-texinfo		texi
application/x-troff		t
application/x-troff-man		man
application/x-troff-me		me
application/x-troff-ms		ms
application/x-ustar		ustar
application/x-wais-source	src
application/xhtml+xml		xhtml
application/xslt+xml		xslt
application/xml			xml
application/xml-dtd		dtd
application/zip			zip
audio/basic			au
audio/midi			mid
audio/mpeg			mp3
audio/x-aiff			aiff
audio/x-mpegurl			m3u
audio/x-pn-realaudio		ra
application/vnd.rn-realmedia	rm
audio/x-wav			wav
chemical/x-pdb			pdb
chemical/x-xyz			xyz
image/bmp			bmp
image/cgm			cgm
image/gif			gif
image/ief			ief
image/jpeg			jpg
image/png			png
image/svg+xml			svg
image/tiff			tif
image/vnd.djvu			djv
image/vnd.wap.wbmp		wbmp
image/x-cmu-raster		ras
image/x-icon			ico
image/x-portable-anymap		pnm
image/x-portable-bitmap		pbm
image/x-portable-graymap	pgm
image/x-portable-pixmap		ppm
image/x-rgb			rgb
image/x-xbitmap			xbm
image/x-xpixmap			xpm
image/x-xwindowdump		xwd
model/iges			igs
model/mesh			mesh
model/vrml			vrml
text/calendar			ics
text/css			css
text/html			html
text/javascript   js
text/plain			txt
text/richtext			rtx
text/rtf			rtf
text/sgml			sgml
text/tab-separated-values	tsv
text/vnd.wap.wml		wml
text/vnd.wap.wmlscript		wmls
text/x-setext			etx
video/mpeg			mpeg
video/quicktime			mov
video/vnd.mpegurl		mxu
video/x-msvideo			avi
video/x-sgi-movie		movie
x-conference/x-cooltalk		ice
