id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar]
127,-1,1,17,1,8,17,2,3,2,1,0,1,1,9
128,-1,0,17,1,3,17,1,2,0,1,0,1,1,2
135,-1,1,1,1,0,0,0,1,0,12,0,2,0,9
144,-1,1,1,1,0,0,0,0,0,12,0,2,1,26
194,-1,0,0,9,9,0,0,1,1,2,0,1,0,1
251,-1,0,0,1,1,2,0,4,0,0,0,0,0,0
260,-1,0,100,28,64,26,1,67,151,268,0,0,0,17
346,-1,0,0,2,3,0,0,2,2,7,0,2,0,2
1349,-1,0,0,13,1,5,4,9,4,13,0,0,0,3
1371,-1,0,0,8,0,26,3,12,2,4,0,0,0,45
1448,-1,0,0,24,13,3,0,6,8,0,0,0,0,7
1495,-1,0,0,4,2,0,0,0,0,1,0,0,0,1
1648,-1,0,0,14,8,5,0,6,0,5,0,0,0,9
1929,2,1,1,14,7,4,11,1,25,16,0,0,0,16
2028,-1,0,0,2,3,0,0,3,3,2,0,0,0,1
2370,-1,0,0,0,0,1,0,1,0,1,0,0,0,1
2382,-1,0,0,3,7,1,0,5,1,1,0,0,0,2
2391,-1,0,0,0,0,1,0,1,1,0,0,0,0,1
2394,-1,0,0,2,1,1,0,1,2,0,0,0,0,1
2433,-1,0,0,2,0,2,0,2,0,1,0,0,0,1
2434,-1,0,0,4,0,2,3,1,0,1,0,0,0,2
2448,-1,0,0,0,0,0,0,2,0,1,0,0,0,2
2467,-1,1,0,3,2,1,0,1,3,5,0,3,0,6
2534,1,2,0,9,8,0,1,7,8,3,0,0,0,15
2547,1,2,0,9,8,0,0,7,7,3,0,0,0,14
2584,-1,1,0,0,1,0,0,0,0,2,0,0,0,8
2587,-1,0,0,0,1,3,40,0,0,2,0,1,0,1
2834,-1,0,0,0,1,0,0,2,1,5,0,1,0,3
2837,-1,0,0,0,2,0,0,3,3,10,0,1,0,1
2926,2,1,0,11,6,0,12,5,24,16,0,0,0,13
2935,2,1,0,8,1,2,2,4,22,20,0,0,0,18
3002,-1,0,0,7,7,0,0,0,8,28,0,2,0,5
3004,2,2,0,3,1,0,2,0,19,13,0,1,0,17
3029,2,2,0,4,1,0,2,0,21,13,0,1,0,16
3233,-1,0,0,1,2,4,3,1,0,3,0,0,1,1
3263,-1,0,1,4,4,6,0,10,23,12,0,0,1,6
3422,-1,0,1,2,3,13,1,11,3,5,0,0,1,6
3423,-1,0,1,3,2,11,0,6,0,7,0,0,1,6
3453,-1,0,1,2,1,1,0,0,0,8,0,0,1,5
3465,-1,0,1,2,0,1,0,0,0,8,0,0,1,6
3561,-1,0,12,23,5,14,0,3,15,14,0,0,0,14
3709,-1,0,1,2,0,1,0,0,0,18,0,0,1,5
3712,-1,0,1,3,0,1,1,0,3,10,0,0,1,9
3838,-1,0,0,1,2,3,1,0,1,1,0,0,1,0
3885,-1,0,6,2,3,1,2,0,0,0,0,0,1,0
3891,-1,0,0,1,2,2,2,0,0,0,0,0,1,0
3933,-1,0,0,1,2,4,2,1,8,4,0,0,1,6
3951,-1,0,0,11,0,0,0,16,0,2,0,0,0,0
3966,-1,0,0,1,2,4,0,2,4,1,0,0,1,6
3974,-1,1,0,1,3,6,0,0,3,1,0,0,1,10
4285,-1,0,0,1,1,2,0,0,0,3,0,0,1,1
4344,-1,0,1,11,0,0,0,15,0,3,0,1,0,0
4368,-1,0,0,5,15,2,0,1,1,3,0,2,0,0
4582,-1,0,0,26,25,0,0,8,2,3,0,3,0,2
4886,-1,1,0,6,7,1,12,4,25,0,0,0,0,7
5844,-1,0,0,0,1,0,0,1,5,5,0,0,0,2
6826,-1,0,0,2,0,0,0,0,0,2,0,3,0,0
6959,-1,0,1,0,1,0,0,2,3,1,0,0,0,0
7164,-1,0,0,1,0,14,11,4,2,5,0,0,0,1
7317,-1,0,1,0,0,3,4,0,0,0,0,0,0,1
7340,-1,0,3,1,0,2,0,3,1,2,0,0,0,1
7643,-1,0,0,0,0,0,0,0,0,36,0,6,0,0
8124,-1,0,1,0,0,1,0,1,0,12,0,0,0,0
8370,-1,0,0,0,0,0,0,1,0,1,0,0,0,0
8953,-1,0,0,2,0,0,3,0,0,4,0,0,0,0
9856,-1,0,0,2,1,0,0,1,0,4,0,0,0,2
9936,-1,0,0,2,2,0,0,4,0,6,0,0,0,0
10437,-1,0,0,4,1,1,0,26,2,6,0,0,0,5
10507,-1,0,0,4,2,0,0,26,0,9,0,0,0,3
10623,-1,0,0,5,7,0,0,4,0,6,0,0,0,0
11049,2,3,0,24,11,2,3,3,10,10,0,1,0,16
11051,2,2,0,24,10,8,4,2,10,10,0,1,0,21
11055,1,2,0,3,0,2,0,2,1,10,0,1,0,8
11060,2,3,0,14,6,2,7,2,6,18,0,1,0,26
11062,-1,3,0,18,8,1,0,3,8,18,0,1,0,28
11072,-1,0,0,4,0,0,2,0,2,11,0,0,0,3
11342,1,1,2,15,4,3,0,16,3,16,0,15,0,14
11404,-1,1,0,6,3,0,0,12,0,2,0,0,0,4
11558,-1,0,0,3,0,0,0,12,0,3,0,0,0,0
12592,-1,0,0,3,3,0,0,0,1,6,0,2,0,2
12748,-1,0,0,3,0,0,0,1,0,7,0,0,0,5
12761,-1,0,1,34,4,33,6,31,50,26,0,0,0,6
12883,-1,0,0,2,5,5,1,5,2,4,0,0,0,4
12946,-1,0,0,0,0,1,0,1,3,4,0,0,0,5
12954,-1,1,0,2,0,9,18,7,24,1,0,1,0,6
13010,2,0,3,6,4,13,0,7,12,5,0,0,1,2
13013,2,0,3,6,4,13,0,7,12,5,0,0,1,2
13021,2,0,1,6,8,11,0,7,10,7,0,0,1,3
13025,-1,0,1,3,4,7,0,7,5,5,0,0,1,2
13028,-1,0,1,8,12,7,0,7,8,5,0,0,1,2
13054,-1,0,1,3,5,7,0,7,8,5,0,0,1,3
13151,-1,0,1,3,12,7,0,7,5,6,0,0,1,2
13248,-1,0,1,4,14,8,0,9,14,9,0,0,1,4
13304,-1,0,1,3,4,7,0,8,4,5,0,0,1,2
13308,1,0,2,11,7,11,0,8,10,5,0,0,1,4
13358,-1,0,1,3,5,7,0,10,10,5,0,0,1,2
13407,-1,0,1,3,8,7,0,16,28,8,0,0,1,2
13413,-1,0,1,3,5,7,0,10,11,5,0,0,1,2
13416,1,0,1,6,6,7,0,7,5,5,0,0,1,2
13514,-1,0,1,3,6,7,0,7,4,6,0,0,1,3
13575,-1,0,1,3,4,7,0,9,8,5,0,0,1,2
13587,-1,0,1,3,7,7,0,7,7,5,0,0,1,2
13612,-1,0,1,19,73,5,3,14,45,56,0,0,2,2
13613,-1,0,0,5,5,0,0,0,6,15,0,0,1,0
13694,-1,0,1,3,5,7,0,9,8,9,0,0,1,2
13695,-1,0,1,3,10,7,0,21,6,20,0,0,1,2
13752,-1,0,0,0,1,0,0,4,0,1,0,0,0,0
13773,-1,0,1,19,31,9,0,22,33,19,0,0,1,2
14021,-1,0,1,7,11,7,0,7,8,5,0,0,1,2
14044,-1,0,1,3,12,7,0,7,4,5,0,0,1,2
14081,-1,0,2,20,16,9,0,11,28,14,0,0,1,7
14086,1,0,4,25,20,13,0,16,31,19,0,0,1,2
14107,-1,0,0,1,2,1,0,1,0,1,0,0,0,6
14120,1,0,2,5,4,8,0,7,4,5,0,0,1,2
14198,-1,0,1,3,4,7,0,8,5,5,0,0,1,2
14210,1,0,1,5,4,8,0,9,5,5,0,0,1,2
14214,1,0,1,5,4,8,0,7,5,5,0,0,1,2
14218,1,0,1,5,4,8,0,7,5,5,0,0,1,2
14221,-1,0,1,3,5,7,0,7,5,5,0,0,1,2
14245,1,0,1,5,5,8,0,7,5,5,0,0,1,2
14249,-1,0,1,3,4,7,0,7,4,5,0,0,1,2
14252,-1,0,1,3,4,7,0,10,4,5,0,0,1,2
14253,1,0,1,5,5,8,0,7,5,5,0,0,1,2
14277,-1,0,1,3,4,7,0,7,15,5,0,0,1,6
14295,-1,0,1,7,7,7,0,11,7,5,0,0,1,2
14299,-1,0,1,9,13,7,0,7,4,6,0,0,1,2
14302,-1,0,1,6,4,7,0,7,4,5,0,0,1,3
14385,-1,0,2,12,7,15,0,8,8,5,0,0,1,2
14399,1,1,1,5,5,9,0,7,9,5,0,0,1,5
14404,-1,0,1,3,4,7,0,7,4,5,0,0,1,2
14435,-1,0,1,3,4,7,0,7,4,5,0,0,1,2
14437,1,0,2,11,7,11,0,8,10,5,0,0,1,4
14446,-1,0,1,4,5,7,0,7,6,5,0,0,1,2
14452,-1,0,1,4,5,7,0,7,7,5,0,0,1,2
