id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar],f14|#ratio:text[LOCATION-TIME]
23690,-1,0,0,11,1,0,0,15,1,3,0,1,0,3,1
111056,-1,0,0,1,2,2,3,5,1,3,0,0,0,1,2
14124,-1,0,1,3,6,7,0,7,6,4,0,0,1,2,1
7352,-1,0,9,9,2,3,19,13,11,5,0,0,0,1,0
10437,-1,0,0,4,1,1,0,26,2,6,0,0,0,5,0
32779,-1,0,2,3,0,1,0,1,4,1,0,0,0,0,0
11394,-1,0,0,4,0,0,0,12,0,2,0,0,0,0,0
47852,-1,0,0,3,3,3,10,0,0,27,0,0,0,1,3
3452,-1,0,1,2,0,1,0,0,0,8,0,0,1,5,0
73086,-1,0,0,0,0,0,0,1,0,7,0,0,0,0,0
35199,-1,0,0,0,0,1,0,2,2,0,0,0,1,0,0
23257,-1,0,1,2,4,2,2,3,28,8,0,0,1,2,0
24362,-1,0,1,0,0,10,1,3,1,6,0,0,1,0,0
92463,-1,1,2,0,0,0,0,0,0,0,0,0,0,6,0
90899,-1,1,1,1,1,1,0,0,2,9,0,3,0,0,0
22593,-1,0,0,0,0,3,0,1,1,0,0,0,1,1,0
36481,-1,0,1,0,0,0,0,0,2,4,0,4,0,0,0
31301,-1,0,0,1,0,2,3,0,6,1,0,0,0,6,0
92747,-1,0,0,2,0,0,0,1,0,6,0,0,0,0,0
48864,-1,0,1,5,15,8,2,8,1,5,0,0,0,16,15
14081,-1,0,2,20,16,9,0,11,28,14,0,0,1,7,0
98574,-1,1,0,1,0,1,0,0,1,9,0,1,0,16,0
14071,-1,0,1,7,6,11,0,8,12,4,0,0,1,2,0
65314,-1,0,0,2,1,0,1,9,2,6,0,0,0,1,0
99305,-1,1,0,1,0,0,0,1,0,11,0,1,0,14,0
62259,-1,0,0,4,0,0,0,1,2,3,0,0,0,0,0
99415,-1,1,0,3,1,0,0,5,3,16,0,1,0,13,0
21317,-1,0,0,6,0,0,0,0,0,8,0,2,0,2,0
76596,-1,0,0,1,1,0,1,0,5,1,0,0,0,1,0
20389,-1,0,0,0,0,5,0,1,0,10,0,4,0,0,0
