id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar],f14|#ratio:text[LOCATION-TIME]
69,-1,0,0,3,1,2,0,1,3,6,0,0,0,0,0
127,-1,1,17,1,8,17,2,3,2,1,0,1,1,9,4
128,-1,0,17,1,3,17,1,2,0,1,0,1,1,2,3
135,-1,1,1,1,0,0,0,1,0,12,0,2,0,9,0
137,-1,1,1,1,0,0,0,1,0,12,0,2,1,18,0
144,-1,1,1,1,0,0,0,0,0,12,0,2,1,26,0
146,-1,2,1,3,0,0,0,0,0,12,0,2,0,14,0
194,-1,0,0,9,9,0,0,1,1,2,0,1,0,1,9
251,-1,0,0,1,1,2,0,4,0,0,0,0,0,0,1
260,-1,0,100,28,64,26,1,67,151,268,0,0,0,17,0
308,-1,0,0,7,0,22,0,10,1,6,0,0,0,41,0
346,-1,0,0,2,3,0,0,2,2,7,0,2,0,2,1
662,-1,0,0,13,7,0,0,4,0,5,0,0,0,9,7
696,-1,0,0,2,0,0,3,1,5,1,0,0,0,4,0
1349,-1,0,0,13,1,5,4,9,4,13,0,0,0,3,0
1371,-1,0,0,8,0,26,3,12,2,4,0,0,0,45,0
1448,-1,0,0,24,13,3,0,6,8,0,0,0,0,7,1
1463,-1,0,0,26,14,5,0,6,5,1,0,0,0,4,2
1495,-1,0,0,4,2,0,0,0,0,1,0,0,0,1,2
1648,-1,0,0,14,8,5,0,6,0,5,0,0,0,9,8
1702,-1,0,0,2,1,0,0,0,7,19,0,2,0,1,0
1929,2,1,1,14,7,4,11,1,25,16,0,0,0,16,0
1995,-1,0,0,2,3,0,0,2,3,11,0,1,0,1,1
2028,-1,0,0,2,3,0,0,3,3,2,0,0,0,1,1
2191,-1,0,0,0,0,0,0,1,0,5,0,0,0,2,0
2192,-1,0,0,1,2,6,1,1,0,1,0,0,0,1,2
2370,-1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2381,-1,0,0,2,1,1,0,1,3,0,0,0,0,1,0
2382,-1,0,0,3,7,1,0,5,1,1,0,0,0,2,7
2383,-1,0,0,0,0,13,2,2,1,1,0,0,0,7,0
2389,-1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2391,-1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
2394,-1,0,0,2,1,1,0,1,2,0,0,0,0,1,0
2397,-1,0,0,2,1,1,0,1,3,0,0,0,0,1,0
2430,-1,0,0,8,5,3,0,3,4,3,0,1,0,5,1
2433,-1,0,0,2,0,2,0,2,0,1,0,0,0,1,0
2434,-1,0,0,4,0,2,3,1,0,1,0,0,0,2,0
2448,-1,0,0,0,0,0,0,2,0,1,0,0,0,2,0
2450,-1,0,0,0,0,1,0,2,0,1,0,0,0,1,0
2467,-1,1,0,3,2,1,0,1,3,5,0,3,0,6,0
2534,1,2,0,9,8,0,1,7,8,3,0,0,0,15,1
2543,1,1,0,8,7,0,0,10,7,2,0,2,0,12,1
2547,1,2,0,9,8,0,0,7,7,3,0,0,0,14,1
2584,-1,1,0,0,1,0,0,0,0,2,0,0,0,8,1
2587,-1,0,0,0,1,3,40,0,0,2,0,1,0,1,1
2834,-1,0,0,0,1,0,0,2,1,5,0,1,0,3,1
2837,-1,0,0,0,2,0,0,3,3,10,0,1,0,1,0
2926,2,1,0,11,6,0,12,5,24,16,0,0,0,13,0
2935,2,1,0,8,1,2,2,4,22,20,0,0,0,18,0
2937,2,1,0,14,1,3,8,2,29,16,0,0,0,11,0
2938,2,1,0,15,10,3,12,6,34,16,0,0,0,16,0
2939,2,1,6,35,4,12,41,36,55,24,0,0,0,57,0
2940,2,1,1,5,0,7,18,3,39,16,0,0,0,14,0
3002,-1,0,0,7,7,0,0,0,8,28,0,2,0,5,0
3004,2,2,0,3,1,0,2,0,19,13,0,1,0,17,0
3016,1,2,1,2,1,0,2,1,5,13,0,1,0,15,0
3020,2,2,0,2,0,0,7,0,19,13,0,1,0,15,0
3021,1,2,0,3,1,0,2,0,5,13,0,1,0,15,0
3027,2,2,0,5,3,1,3,0,9,13,0,1,0,17,0
3029,2,2,0,4,1,0,2,0,21,13,0,1,0,16,0
3040,2,2,0,6,5,0,4,0,7,13,0,1,0,21,0
3042,2,3,0,10,4,1,0,2,4,18,0,1,0,25,1
3137,-1,0,0,6,8,3,0,2,2,12,0,0,0,6,4
3176,-1,0,0,7,0,0,0,1,2,3,0,0,0,0,0
3233,-1,0,0,1,2,4,3,1,0,3,0,0,1,1,2
3256,-1,0,0,2,3,2,0,1,3,5,0,0,1,2,1
3259,-1,0,1,2,3,7,0,9,2,25,0,0,1,6,1
3263,-1,0,1,4,4,6,0,10,23,12,0,0,1,6,0
