id	label	judge	prob	f01|E:url[seminar]	f02|#:text[abstract]	f03|#:text[location]	f04|#:text[LOCATION]	f05|#:text[speaker]	f06|#:text[SPEAKER]	f07|#:text[date|time]	f08|#:text[DATE|TIME]	f09|#:tag[img]	f10|#:text[tbc/tba]	f11|#:tag[table]	f12|#:url[neg_word]	f13|#:text[seminar]
69	-1	-1	1.0	0	0	3	1	2	0	1	3	6	0	0	0	0
137	-1	-1	1.0	1	1	1	0	0	0	1	0	12	0	2	1	18
146	-1	-1	1.0	2	1	3	0	0	0	0	0	12	0	2	0	14
308	-1	-1	1.0	0	0	7	0	22	0	10	1	6	0	0	0	41
662	-1	-1	1.0	0	0	13	7	0	0	4	0	5	0	0	0	9
696	-1	-1	1.0	0	0	2	0	0	3	1	5	1	0	0	0	4
1463	-1	-1	1.0	0	0	26	14	5	0	6	5	1	0	0	0	4
1702	-1	-1	1.0	0	0	2	1	0	0	0	7	19	0	2	0	1
1995	-1	-1	1.0	0	0	2	3	0	0	2	3	11	0	1	0	1
2191	-1	-1	1.0	0	0	0	0	0	0	1	0	5	0	0	0	2
2192	-1	-1	1.0	0	0	1	2	6	1	1	0	1	0	0	0	1
2381	-1	-1	1.0	0	0	2	1	1	0	1	3	0	0	0	0	1
2383	-1	-1	1.0	0	0	0	0	13	2	2	1	1	0	0	0	7
2389	-1	-1	1.0	0	0	0	0	0	0	1	1	0	0	0	0	1
2397	-1	-1	1.0	0	0	2	1	1	0	1	3	0	0	0	0	1
2430	-1	-1	1.0	0	0	8	5	3	0	3	4	3	0	1	0	5
2450	-1	-1	1.0	0	0	0	0	1	0	2	0	1	0	0	0	1
2543	1	1	1.0	1	0	8	7	0	0	10	7	2	0	2	0	12
2937	2	2	1.0	1	0	14	1	3	8	2	29	16	0	0	0	11
2938	2	2	1.0	1	0	15	10	3	12	6	34	16	0	0	0	16
2939	2	2	1.0	1	6	35	4	12	41	36	55	24	0	0	0	57
2940	2	2	1.0	1	1	5	0	7	18	3	39	16	0	0	0	14
3016	1	1	1.0	2	1	2	1	0	2	1	5	13	0	1	0	15
3020	2	-1	1.0	2	0	2	0	0	7	0	19	13	0	1	0	15
3021	1	1	1.0	2	0	3	1	0	2	0	5	13	0	1	0	15
3027	2	2	1.0	2	0	5	3	1	3	0	9	13	0	1	0	17
3040	2	2	1.0	2	0	6	5	0	4	0	7	13	0	1	0	21
3042	2	2	1.0	3	0	10	4	1	0	2	4	18	0	1	0	25
3137	-1	-1	1.0	0	0	6	8	3	0	2	2	12	0	0	0	6
3176	-1	-1	1.0	0	0	7	0	0	0	1	2	3	0	0	0	0
3256	-1	-1	1.0	0	0	2	3	2	0	1	3	5	0	0	1	2
3259	-1	-1	1.0	0	1	2	3	7	0	9	2	25	0	0	1	6
3265	-1	-1	1.0	0	0	11	0	0	0	16	0	2	0	0	0	0
3374	-1	-1	1.0	0	0	0	0	3	0	1	2	1	0	0	1	4
3399	-1	-1	1.0	0	1	3	6	34	0	22	2	7	0	0	1	4
3452	-1	-1	1.0	0	1	2	0	1	0	0	0	8	0	0	1	5
3558	-1	-1	1.0	0	2	10	5	2	0	2	8	13	0	1	0	7
3658	-1	-1	1.0	0	1	3	0	2	0	1	1	10	0	0	1	5
3660	-1	-1	1.0	0	3	2	0	4	0	7	3	16	0	0	1	8
3677	-1	-1	1.0	0	1	2	0	2	1	0	0	17	0	0	1	5
3868	-1	-1	1.0	0	0	3	4	2	3	0	1	0	0	0	1	0
3874	-1	-1	1.0	0	0	1	2	3	1	0	0	0	0	0	1	1
3907	-1	-1	1.0	0	7	1	4	2	4	2	0	0	0	0	1	2
3967	-1	-1	1.0	0	0	1	2	3	0	0	3	1	0	0	1	3
4024	-1	-1	1.0	1	0	1	3	4	0	0	1	6	0	0	1	5
4066	-1	-1	1.0	0	0	2	4	1	0	0	0	0	0	0	1	0
4287	-1	-1	1.0	0	0	1	1	2	0	2	0	4	0	0	1	1
4314	-1	-1	1.0	0	0	1	1	1	0	0	0	3	0	0	1	1
4480	-1	-1	1.0	0	0	1	1	2	0	3	2	12	0	0	0	2
4505	-1	-1	1.0	0	1	11	0	7	0	2	2	4	0	0	0	0
4602	-1	-1	1.0	0	0	2	3	0	0	3	2	6	0	2	0	2
4944	-1	-1	1.0	0	0	4	7	0	0	3	3	23	0	0	0	0
5279	-1	-1	1.0	0	0	7	7	2	0	0	0	6	0	1	0	1
5471	-1	-1	1.0	0	0	1	0	0	0	3	5	3	0	4	0	1
6810	-1	-1	1.0	0	0	3	0	1	0	0	0	0	0	0	0	0
7165	-1	-1	1.0	0	1	1	0	5	1	2	0	2	0	0	0	0
7352	-1	-1	1.0	0	9	9	2	3	19	13	11	5	0	0	0	1
9033	-1	-1	1.0	0	0	1	0	0	0	0	1	96	0	0	0	0
9710	-1	-1	1.0	0	0	1	0	0	0	2	0	6	0	0	0	0
9831	-1	-1	1.0	0	0	1	0	0	0	0	0	6	0	0	0	0
10697	-1	1	1.0	1	0	0	0	1	0	1	3	7	0	0	0	9
10999	2	-1	1.0	1	5	29	5	3	0	15	57	42	0	11	0	20
11003	-1	-1	1.0	0	0	1	1	1	0	1	0	5	0	0	0	1
11044	-1	1	1.0	1	0	1	0	1	1	2	1	9	0	1	0	5
11058	-1	-1	1.0	2	0	1	0	0	0	1	0	18	0	0	0	17
11059	2	2	1.0	3	0	17	7	2	6	2	7	18	0	1	0	20
11061	-1	-1	1.0	3	0	1	0	0	0	1	0	18	0	0	0	20
11064	-1	-1	1.0	3	0	1	0	0	0	1	0	18	0	0	0	20
11067	2	-1	1.0	2	0	1	0	0	0	1	0	18	0	0	0	20
11128	-1	-1	1.0	0	0	1	0	0	0	0	0	22	0	1	0	1
11257	2	2	1.0	1	0	18	8	1	0	3	8	6	0	1	0	16
11264	2	2	1.0	1	0	17	7	2	6	2	7	6	0	1	0	8
11336	1	1	1.0	1	2	15	4	3	0	12	3	16	0	15	0	14
11340	1	1	1.0	1	2	15	4	3	0	12	2	16	0	15	0	15
11394	-1	-1	1.0	0	0	4	0	0	0	12	0	2	0	0	0	0
11569	-1	-1	1.0	0	0	6	4	2	3	15	7	3	0	0	0	0
11719	-1	-1	1.0	0	0	13	0	0	0	27	3	4	0	2	0	0
12120	-1	-1	1.0	0	1	12	3	2	0	3	0	6	0	4	0	6
12189	2	1	1.0	1	0	6	4	7	0	1	8	1	0	2	0	10
12358	-1	-1	1.0	0	2	13	3	2	5	11	5	15	0	12	0	8
12767	-1	-1	1.0	0	1	34	4	33	6	31	50	26	0	0	0	6
12790	-1	2	1.0	1	0	15	17	2	10	1	16	7	0	0	0	19
12793	-1	2	1.0	1	0	2	0	0	0	1	0	7	0	0	0	12
12811	-1	-1	1.0	0	0	2	0	0	0	1	0	7	0	0	0	5
12964	2	1	1.0	1	0	0	0	1	0	1	2	1	0	0	0	8
13006	-1	-1	1.0	0	1	3	4	7	0	7	4	5	0	0	1	2
13018	2	2	1.0	0	1	6	8	11	0	7	10	7	0	0	1	3
13029	-1	-1	1.0	0	1	11	0	0	0	16	0	3	0	1	0	0
13033	-1	1	1.0	0	1	6	6	7	0	7	8	6	0	0	1	2
13035	-1	-1	1.0	0	1	9	9	7	0	7	8	5	0	0	1	2
13040	-1	-1	1.0	0	1	5	7	7	0	7	4	5	0	0	1	2
13046	-1	-1	1.0	0	1	5	9	7	0	7	10	5	0	0	1	2
13057	1	-1	1.0	0	1	3	5	7	0	10	8	5	0	0	1	3
13063	1	-1	1.0	0	1	3	5	7	0	10	8	5	0	0	1	3
13253	-1	1	1.0	0	1	4	8	8	0	8	4	6	0	0	1	2
13339	-1	-1	1.0	0	1	3	9	7	0	13	4	9	0	0	1	2
13341	-1	-1	1.0	0	1	3	5	7	0	13	15	5	0	0	1	2
