id,label,fl_0,fl_1,fl_2,fl_3,fl_4,fl_5,fl_6,fl_7,fl_8,fl_9,fl_10,fl_11,fs_0,fs_1,fo_0,fo_1
69,-1,0,0,2,3,1,0,0,1,3,1,0,0,6,0,0,0
127,-1,9,0,17,1,3,17,2,8,2,6,4,0,1,1,1,1
128,-1,2,0,17,1,2,17,1,3,0,2,3,0,1,1,0,1
135,-1,9,0,0,1,1,1,0,0,0,0,0,0,12,2,1,0
137,-1,18,0,0,1,1,1,0,0,0,0,0,0,12,2,1,1
144,-1,26,0,0,1,0,1,0,0,0,0,0,0,12,2,1,1
146,-1,14,0,0,3,0,1,0,0,0,0,0,0,12,2,2,0
194,-1,1,0,0,9,1,0,0,9,1,9,9,0,2,1,0,0
251,-1,0,1,2,1,4,0,0,1,0,1,1,0,0,0,0,0
260,-1,17,26,26,28,67,100,1,64,151,63,0,0,268,0,0,0
308,-1,41,3,22,7,10,0,0,0,1,0,0,0,6,0,0,0
346,-1,2,0,0,2,2,0,0,3,2,3,1,0,7,2,0,0
662,-1,9,0,0,13,4,0,0,7,0,7,7,0,5,0,0,0
696,-1,4,0,0,2,1,0,3,0,5,-3,0,0,1,0,0,0
1349,-1,3,1,5,13,9,0,4,2,4,-2,0,0,13,0,0,0
1371,-1,45,3,26,8,12,0,3,0,2,-3,0,0,4,0,0,0
1448,-1,7,0,3,24,6,0,0,13,8,13,1,0,0,0,0,0
1463,-1,4,0,5,26,6,0,0,14,5,14,2,0,1,0,0,0
1495,-1,1,0,0,4,0,0,0,2,0,2,2,0,1,0,0,0
1648,-1,9,3,5,14,6,0,0,8,0,8,8,0,5,0,0,0
1702,-1,1,1,0,2,0,0,0,1,7,1,0,0,19,2,0,0
1929,2,16,0,4,14,1,1,11,7,25,-4,0,0,16,0,1,0
1995,-1,1,0,0,2,2,0,0,3,3,3,1,0,11,1,0,0
2028,-1,1,0,0,2,3,0,0,3,3,3,1,0,2,0,0,0
2191,-1,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
2192,-1,1,0,6,1,1,0,1,2,0,1,2,0,1,0,0,0
2370,-1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2381,-1,1,0,1,2,1,0,0,1,3,1,0,0,0,0,0,0
2382,-1,2,0,1,3,5,0,0,7,1,7,7,0,1,0,0,0
2383,-1,7,1,13,0,2,0,2,0,1,-2,0,0,1,0,0,0
2389,-1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2391,-1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2394,-1,1,0,1,2,1,0,0,1,2,1,0,0,0,0,0,0
2397,-1,1,0,1,2,1,0,0,1,3,1,0,0,0,0,0,0
2430,-1,5,0,3,8,3,0,0,5,4,5,1,0,3,1,0,0
2433,-1,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0
2434,-1,2,0,2,4,1,0,3,0,0,-3,0,0,1,0,0,0
2448,-1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2450,-1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0
2467,-1,6,0,1,3,1,0,0,2,3,2,0,0,5,3,1,0
2534,1,15,0,0,9,7,0,1,8,8,7,1,0,3,0,2,0
2543,1,12,0,0,8,10,0,0,7,7,7,1,0,2,2,1,0
2547,1,14,0,0,9,7,0,0,8,7,8,1,0,3,0,2,0
2584,-1,8,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0
